unique_key,created_date,closed_date,agency,complaint_type,descriptor,status,resolution_description,incident_zip,city,borough,latitude,longitude
52008712,2021-10-02T10:31:39Z,2021-10-02T17:42:27Z,DSNY,other,Cat,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,11204,NA,BROOKLYN,NA,NA
52018844,2021-10-02T12:44:12Z,NA,DSNY,other,Overflowing,In Progress,The Department of Sanitation investigated this complaint and found no condition at the location.,10036,NEW YORK,MANHATTAN,40.75763535980379,-73.98580355106148
52024245,2021-10-02T12:48:24Z,NA,DSNY,other,Trash,In Progress,The Department of Sanitation investigated this complaint and found no condition at the location.,10010,NEW YORK,MANHATTAN,40.74159026898543,-73.99374611719963
52028358,2021-10-02T16:58:25Z,NA,DSNY,other,Bulky Recycling,In Progress,The Department of Sanitation investigated this complaint and found no condition at the location.,11216,BROOKLYN,BROOKLYN,40.679624783296575,-73.94400890861573
52028390,2021-10-02T15:04:42Z,NA,DSNY,other,Trash,In Progress,"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",11207,BROOKLYN,BROOKLYN,40.677490718717735,-73.88630888980691
52029842,2021-10-02T13:47:24Z,NA,DSNY,other,Bulky Recycling,In Progress,The Department of Sanitation collected the requested items.,11217,BROOKLYN,BROOKLYN,40.68241663921986,-73.9773862970057
52037807,2021-10-03T01:58:39Z,NA,DSNY,other,Recycling - Paper/Metal/Glass/Rigid Plastic,In Progress,The Department of Sanitation collected the requested items.,11423,HOLLIS,QUEENS,40.71654238140869,-73.77404274114605
52039254,2021-10-02T17:23:26Z,NA,DSNY,other,Bulky Recycling,In Progress,The Department of Sanitation investigated this complaint and found no condition at the location.,11366,FRESH MEADOWS,QUEENS,40.72901856937174,-73.78915778649555
52039256,2021-10-02T12:48:22Z,NA,DSNY,other,Recycling - Paper,In Progress,The Department of Sanitation investigated this complaint and found no condition at the location.,10010,NEW YORK,MANHATTAN,40.74159026898543,-73.99374611719963
52040869,2021-10-02T11:40:05Z,NA,DSNY,other,New Basket,In Progress,A Litter Basket was placed at the location.,10011,NEW YORK,MANHATTAN,40.73483285870073,-74.00005051672244
52046171,2021-10-02T04:19:07Z,2021-10-02T04:26:35Z,NYPD,blocked driveway,No Access,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,11207,BROOKLYN,BROOKLYN,40.68304421001765,-73.88713230092664
52046198,2021-10-02T04:59:46Z,2021-10-02T05:58:38Z,NYPD,blocked driveway,Partial Access,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,11239,BROOKLYN,BROOKLYN,40.6553362083541,-73.87192687753935
52046229,2021-10-02T04:21:01Z,2021-10-02T09:07:05Z,NYPD,blocked driveway,No Access,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11211,BROOKLYN,BROOKLYN,40.71657718616117,-73.9556873230715
52046249,2021-10-02T04:02:46Z,2021-10-02T04:40:00Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department reviewed your complaint and provided additional information below.,11373,ELMHURST,QUEENS,40.73891877869078,-73.87335398346333
52046259,2021-10-02T04:37:05Z,2021-10-02T06:22:52Z,NYPD,blocked driveway,No Access,Closed,The Police Department issued a summons in response to the complaint.,11369,EAST ELMHURST,QUEENS,40.75864504231467,-73.86584814988501
52046275,2021-10-02T05:19:00Z,2021-10-02T06:14:39Z,NYPD,blocked driveway,Partial Access,Closed,The Police Department issued a summons in response to the complaint.,11377,WOODSIDE,QUEENS,40.73694934633915,-73.89664669573051
52046283,2021-10-02T04:28:51Z,2021-10-02T05:28:49Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11204,BROOKLYN,BROOKLYN,40.61044098462761,-73.9819919310787
52046401,2021-10-02T05:35:51Z,2021-10-02T05:40:41Z,NYPD,illegal parking,Posted Parking Sign Violation,Closed,The Police Department reviewed your complaint and provided additional information below.,11421,WOODHAVEN,QUEENS,40.688190104280885,-73.85052454467005
52046407,2021-10-02T04:40:21Z,2021-10-02T04:50:23Z,NYPD,noise - vehicle,Car/Truck Horn,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11432,JAMAICA,QUEENS,40.71720288390533,-73.80341911349899
52046408,2021-10-02T04:09:04Z,2021-10-02T04:24:50Z,NYPD,noise - vehicle,Car/Truck Horn,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11366,FRESH MEADOWS,QUEENS,40.72445772523062,-73.81021642584223
52046409,2021-10-02T04:16:22Z,2021-10-02T04:19:50Z,NYPD,noise - vehicle,Car/Truck Horn,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11366,FRESH MEADOWS,QUEENS,40.72035285789358,-73.80769199878456
52046435,2021-10-02T04:19:17Z,2021-10-03T05:00:05Z,DOHMH,other,Vaccine Rules Not Posted,Closed,Thank you for your report. It will help the City ensure that the vaccine mandate is being enforced safely.,11238,BROOKLYN,BROOKLYN,40.67527414771311,-73.9562915846352
52046459,2021-10-02T05:26:21Z,2021-10-02T05:30:44Z,DHS,homeless person assistance,NA,Closed,The Department of Homeless Services did not have enough information to act on your request.,NA,NA,BROOKLYN,40.69323836637393,-73.99064220610673
52046464,2021-10-02T04:20:00Z,2021-10-02T05:00:14Z,DHS,homeless person assistance,NA,Closed,The Department of Homeless Services did not have enough information to act on your request.,NA,NA,MANHATTAN,40.74607945556746,-73.98207797178418
52046468,2021-10-02T05:02:29Z,2021-10-02T05:10:37Z,DHS,homeless person assistance,NA,Closed,The Department of Homeless Services did not have enough information to act on your request.,NA,NA,MANHATTAN,40.811107518494005,-73.95234425968995
52046487,2021-10-02T05:59:40Z,NA,DOHMH,indoor air quality,Chemical Vapors/Gases/Odors,In Progress,NA,11379,MIDDLE VILLAGE,QUEENS,40.71444508262168,-73.88508071895389
52046537,2021-10-02T05:28:16Z,2021-10-02T05:52:52Z,NYPD,noise - commercial,Loud Music/Party,Closed,This complaint does not fall under the Police Department's jurisdiction.,10040,NEW YORK,MANHATTAN,40.86568953017337,-73.92737669701174
52046543,2021-10-02T05:52:23Z,2021-10-02T05:58:04Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11238,BROOKLYN,BROOKLYN,40.67393430831515,-73.96300865763267
52046549,2021-10-02T04:02:01Z,2021-10-02T04:28:10Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10021,NEW YORK,MANHATTAN,40.76993035068809,-73.95755441901854
52046555,2021-10-02T05:34:40Z,2021-10-02T05:53:16Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10013,NEW YORK,MANHATTAN,40.71589123035385,-73.9962988980222
52046569,2021-10-02T04:22:33Z,2021-10-02T05:58:08Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10459,BRONX,BRONX,40.830417557629545,-73.89859735206635
52046575,2021-10-02T04:51:30Z,2021-10-02T05:36:29Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10002,NEW YORK,MANHATTAN,40.721166162067185,-73.98868657458544
52046576,2021-10-02T04:59:58Z,2021-10-02T05:21:16Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11432,JAMAICA,QUEENS,40.70514052646012,-73.80394880749206
52046602,2021-10-02T05:19:48Z,2021-10-02T05:44:59Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11236,BROOKLYN,BROOKLYN,40.64486146804071,-73.89882530212235
52046613,2021-10-02T04:58:20Z,2021-10-02T05:16:52Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11238,BROOKLYN,BROOKLYN,40.68823602078318,-73.9591641352559
52046624,2021-10-02T04:26:49Z,2021-10-02T04:50:24Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10032,NEW YORK,MANHATTAN,40.83606132161131,-73.93831195950115
52046625,2021-10-02T05:53:19Z,2021-10-02T05:58:10Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,11104,SUNNYSIDE,QUEENS,40.74224247660781,-73.91874923848634
52046628,2021-10-02T04:54:19Z,2021-10-02T05:41:08Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11201,BROOKLYN,BROOKLYN,40.69683041497331,-73.98315145712918
52046629,2021-10-02T05:04:10Z,2021-10-02T05:12:30Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11434,JAMAICA,QUEENS,40.68079243982909,-73.77583679123838
52046631,2021-10-02T04:24:32Z,2021-10-02T04:51:18Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10032,NA,MANHATTAN,40.84231307629744,-73.93702674673511
52046632,2021-10-02T05:15:40Z,2021-10-02T05:46:46Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,10463,BRONX,BRONX,40.880058382892926,-73.91213309735885
52046638,2021-10-02T04:09:42Z,2021-10-02T05:54:25Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11216,BROOKLYN,BROOKLYN,40.67360693623254,-73.95340505198378
52046639,2021-10-02T05:03:48Z,2021-10-02T05:50:32Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10458,BRONX,BRONX,40.86627736743552,-73.89276514667972
52046642,2021-10-02T04:21:53Z,2021-10-02T04:42:42Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10310,STATEN ISLAND,STATEN ISLAND,40.63412519473508,-74.11711564174772
52046643,2021-10-02T04:15:57Z,2021-10-02T05:00:52Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11212,BROOKLYN,BROOKLYN,40.66529019136719,-73.90118054627678
52046653,2021-10-02T05:17:01Z,2021-10-02T05:54:08Z,NYPD,noise - residential,Loud Talking,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11228,BROOKLYN,BROOKLYN,40.61651382366276,-74.02537207572033
52046660,2021-10-02T04:43:13Z,2021-10-02T05:11:06Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,10021,NEW YORK,MANHATTAN,40.771506952565375,-73.96071605868484
52046665,2021-10-02T04:02:36Z,2021-10-02T04:05:27Z,NYPD,noise - residential,Loud Talking,Closed,The Police Department responded to the complaint and took action to fix the condition.,10016,NEW YORK,MANHATTAN,40.74191849974751,-73.9826348341237
52046666,2021-10-02T04:13:37Z,2021-10-02T05:49:17Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10460,BRONX,BRONX,40.83462587375766,-73.89626368177821
52046670,2021-10-02T04:19:45Z,2021-10-02T04:59:25Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10021,NA,MANHATTAN,40.765868081943886,-73.95741260717362
52046671,2021-10-02T04:28:57Z,2021-10-02T04:33:28Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10031,NEW YORK,MANHATTAN,40.82877920699716,-73.9487217837237
52046678,2021-10-02T04:37:10Z,2021-10-02T04:56:19Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10128,NEW YORK,MANHATTAN,40.78465196120816,-73.94802633872739
52046679,2021-10-02T04:06:30Z,2021-10-02T05:11:45Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10308,STATEN ISLAND,STATEN ISLAND,40.55780653179733,-74.1410720941887
52046680,2021-10-02T04:01:44Z,2021-10-02T05:14:51Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11210,BROOKLYN,BROOKLYN,40.63529931650514,-73.94401367261213
52046686,2021-10-02T04:32:11Z,2021-10-02T04:35:31Z,NYPD,noise - residential,Loud Talking,Closed,The Police Department responded to the complaint and took action to fix the condition.,10024,NEW YORK,MANHATTAN,40.78662610979534,-73.97459559980331
52046694,2021-10-02T04:25:24Z,2021-10-02T04:27:11Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10029,NEW YORK,MANHATTAN,40.7915047036744,-73.94057787376542
52046700,2021-10-02T04:58:05Z,2021-10-02T05:19:05Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11226,BROOKLYN,BROOKLYN,40.63830791510577,-73.95756968290598
52046701,2021-10-02T04:22:26Z,2021-10-02T05:45:34Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11233,BROOKLYN,BROOKLYN,40.675934313037956,-73.91853439952581
52046702,2021-10-02T05:03:54Z,2021-10-02T05:30:15Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10026,NEW YORK,MANHATTAN,40.79941732924524,-73.95137382044821
52046706,2021-10-02T04:22:29Z,2021-10-02T04:31:54Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10031,NA,MANHATTAN,40.8251381273337,-73.95139477017592
52046708,2021-10-02T05:24:10Z,2021-10-02T05:54:33Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11217,BROOKLYN,BROOKLYN,40.68093524355637,-73.98179262391048
52046709,2021-10-02T04:00:10Z,2021-10-02T05:52:37Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10032,NEW YORK,MANHATTAN,40.83371294102167,-73.94596072763194
52046723,2021-10-02T05:26:10Z,2021-10-02T05:28:08Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10465,BRONX,BRONX,40.81151854515504,-73.83534599955779
52046737,2021-10-02T05:13:22Z,2021-10-02T05:20:00Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10465,BRONX,BRONX,40.81151854515504,-73.83534599955779
52046739,2021-10-02T05:12:33Z,2021-10-02T05:29:19Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10025,NEW YORK,MANHATTAN,40.79283397613475,-73.97153069488358
52046745,2021-10-02T04:03:02Z,2021-10-02T04:23:51Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10002,NEW YORK,MANHATTAN,40.721366677220466,-73.99030635665594
52046756,2021-10-02T04:56:34Z,2021-10-02T05:43:51Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11211,BROOKLYN,BROOKLYN,40.7113186368982,-73.95677654544475
52046759,2021-10-02T05:18:51Z,2021-10-02T05:32:23Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10033,NEW YORK,MANHATTAN,40.84637632367179,-73.93404825809533
52046779,2021-10-02T04:26:14Z,2021-10-02T04:47:42Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10009,NEW YORK,MANHATTAN,40.7253332513396,-73.97481739538972
52046781,2021-10-02T04:33:18Z,2021-10-02T05:10:46Z,NYPD,noise - street/sidewalk,Loud Talking,Closed,The Police Department responded to the complaint and took action to fix the condition.,10029,NEW YORK,MANHATTAN,40.7907214567336,-73.93867177094054
52046790,2021-10-02T04:50:53Z,2021-10-02T05:23:53Z,NYPD,noise - street/sidewalk,Loud Talking,Closed,The Police Department responded to the complaint and took action to fix the condition.,10002,NEW YORK,MANHATTAN,40.71757069164552,-73.9905053159014
52046803,2021-10-02T05:08:40Z,2021-10-02T05:49:08Z,NYPD,noise - vehicle,Car/Truck Music,Closed,The Police Department responded to the complaint and took action to fix the condition.,10012,NEW YORK,MANHATTAN,40.72975506082844,-74.00068192378622
52046909,2021-10-02T05:29:03Z,NA,TLC,for hire vehicle complaint,Driver Complaint - Non Passenger,In Progress,NA,11238,BROOKLYN,BROOKLYN,40.68310301697914,-73.96682544235686
52046933,2021-10-02T04:55:23Z,2021-10-02T11:31:34Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11207,BROOKLYN,BROOKLYN,40.68939874049853,-73.90928328951145
52046935,2021-10-02T04:08:05Z,2021-10-02T06:28:32Z,NYPD,illegal parking,Blocked Hydrant,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11232,BROOKLYN,BROOKLYN,40.649961819138234,-74.0032397687229
52046945,2021-10-02T05:51:09Z,2021-10-02T06:21:44Z,NYPD,illegal parking,Blocked Bike Lane,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11249,BROOKLYN,BROOKLYN,40.71376217827951,-73.96722140333455
52046946,2021-10-02T04:53:22Z,NA,TLC,other,Bag/Wallet,In Progress,NA,11430,JAMAICA,QUEENS,40.64832048620134,-73.78828125130184
52046958,2021-10-02T05:30:36Z,2021-10-02T07:07:59Z,NYPD,illegal parking,Blocked Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,11358,FLUSHING,QUEENS,40.76929241029794,-73.79220005198583
52046964,2021-10-02T05:23:03Z,2021-10-02T06:05:22Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11211,BROOKLYN,BROOKLYN,40.71129016218538,-73.94768676412849
52046968,2021-10-02T05:58:52Z,2021-10-02T06:44:48Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11354,FLUSHING,QUEENS,40.76581950576351,-73.81085666879174
52046978,2021-10-02T05:02:19Z,2021-10-02T07:47:32Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11368,CORONA,QUEENS,40.75735381286467,-73.86022344370213
52046979,2021-10-02T04:21:35Z,2021-10-02T07:28:32Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,11221,BROOKLYN,BROOKLYN,40.69099549532093,-73.91940306557305
52046983,2021-10-02T04:33:53Z,2021-10-02T14:13:41Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10457,BRONX,BRONX,40.85362848023705,-73.89137215905889
52046986,2021-10-02T05:42:59Z,2021-10-02T08:26:07Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10030,NEW YORK,MANHATTAN,40.81473784044985,-73.9441264479939
52046989,2021-10-02T04:05:16Z,2021-10-02T06:07:15Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10002,NEW YORK,MANHATTAN,40.715221270038704,-73.99171408791376
52046990,2021-10-02T04:09:47Z,2021-10-02T06:03:20Z,NYPD,noise - commercial,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10032,NEW YORK,MANHATTAN,40.84204590792288,-73.93534280408296
52046995,2021-10-02T04:09:07Z,2021-10-02T06:24:37Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10014,NEW YORK,MANHATTAN,40.733526306162375,-74.00338455403842
52046997,2021-10-02T04:36:33Z,2021-10-02T07:18:57Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10457,BRONX,BRONX,40.85154244929869,-73.90366906220092
52046999,2021-10-02T04:50:44Z,2021-10-02T10:25:46Z,NYPD,noise - street/sidewalk,Loud Talking,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11208,BROOKLYN,BROOKLYN,40.686571421381664,-73.86915537616436
52047000,2021-10-02T05:51:09Z,2021-10-02T06:07:25Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10032,NEW YORK,MANHATTAN,40.83693643474811,-73.94276344313859
52047002,2021-10-02T04:29:19Z,2021-10-02T06:20:36Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10014,NA,MANHATTAN,40.73337262093338,-74.00257268812723
52047003,2021-10-02T05:33:09Z,2021-10-02T06:45:31Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11372,JACKSON HEIGHTS,QUEENS,40.755866204482984,-73.88237433822928
52047007,2021-10-02T04:14:00Z,2021-10-02T09:53:32Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11237,BROOKLYN,BROOKLYN,40.70169626675707,-73.92181372712216
52047012,2021-10-02T04:43:41Z,2021-10-02T06:06:49Z,NYPD,noise - residential,Banging/Pounding,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,10457,BRONX,BRONX,40.8472999808393,-73.88931864798408
52047013,2021-10-02T05:37:25Z,2021-10-02T06:29:19Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11218,NA,BROOKLYN,40.647336263271505,-73.96842881261989
52047014,2021-10-02T05:54:33Z,2021-10-02T07:19:04Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11221,BROOKLYN,BROOKLYN,40.68951495553119,-73.9350075245487
52047017,2021-10-02T04:30:24Z,2021-10-02T06:12:45Z,NYPD,noise - vehicle,Car/Truck Music,Closed,The Police Department responded to the complaint and took action to fix the condition.,10473,BRONX,BRONX,40.82230025720139,-73.85619211834099
52047018,2021-10-02T04:22:04Z,2021-10-02T06:34:50Z,NYPD,noise - vehicle,Car/Truck Music,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10472,BRONX,BRONX,40.83218882544522,-73.85787998826221
52047024,2021-10-02T05:59:18Z,2021-10-02T07:08:37Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11213,BROOKLYN,BROOKLYN,40.6720749585584,-73.93080673575727
52047027,2021-10-02T04:12:59Z,2021-10-02T04:17:34Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,10010,NEW YORK,MANHATTAN,40.739870763766476,-73.98165743445455
52047028,2021-10-02T04:12:31Z,2021-10-02T05:51:43Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11105,ASTORIA,QUEENS,40.77173756701778,-73.9044993488515
52047030,2021-10-02T04:39:38Z,2021-10-02T06:02:42Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11368,CORONA,QUEENS,40.7561970275154,-73.86146392931914
52047031,2021-10-02T04:35:46Z,2021-10-02T06:29:27Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11220,BROOKLYN,BROOKLYN,40.64586846739736,-74.01458707372622
52047032,2021-10-02T05:45:36Z,2021-10-02T07:43:46Z,NYPD,noise - residential,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10461,BRONX,BRONX,40.844072948166364,-73.84678048192029
52047038,2021-10-02T05:18:16Z,2021-10-02T06:14:09Z,NYPD,noise - residential,Loud Talking,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11101,LONG ISLAND CITY,QUEENS,40.74395533241785,-73.95367703809846
52047040,2021-10-02T04:24:46Z,2021-10-02T09:10:29Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10030,NEW YORK,MANHATTAN,40.818468279046506,-73.93941212963895
52047042,2021-10-02T06:00:00Z,2021-10-02T06:15:29Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11104,SUNNYSIDE,QUEENS,40.74224247660781,-73.91874923848634
52047043,2021-10-02T05:40:36Z,2021-10-02T06:23:33Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11367,FLUSHING,QUEENS,40.73552570986641,-73.83788645116906
52047044,2021-10-02T04:00:37Z,2021-10-02T06:03:43Z,NYPD,noise - street/sidewalk,Loud Music/Party,Closed,The Police Department responded to the complaint and took action to fix the condition.,11237,BROOKLYN,BROOKLYN,40.69396979761413,-73.90711339342019
52047058,2021-10-02T04:31:49Z,2021-10-02T06:21:09Z,NYPD,noise - vehicle,Car/Truck Music,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10472,BRONX,BRONX,40.83038975382235,-73.87578522714726
52047059,2021-10-02T04:57:47Z,2021-10-02T10:40:02Z,NYPD,noise - vehicle,Car/Truck Music,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11207,BROOKLYN,BROOKLYN,40.67991280470973,-73.88752337520393
52047062,2021-10-02T05:52:12Z,NA,DOT,street sign - missing,"No Parking, Standing, Stopping",In Progress,NA,10456,BRONX,BRONX,40.82926534295055,-73.91641346786142
52047069,2021-10-02T05:13:12Z,2021-10-02T05:58:59Z,DHS,homeless person assistance,NA,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",10451,BRONX,BRONX,40.826047700758245,-73.92310208735978
52047402,2021-10-02T05:39:43Z,2021-10-02T06:15:04Z,NYPD,blocked driveway,Partial Access,Closed,The Police Department issued a summons in response to the complaint.,11377,WOODSIDE,QUEENS,40.73682874554748,-73.89683452209059
52047473,2021-10-02T04:13:52Z,2021-10-02T05:55:13Z,NYPD,abandoned vehicle,With License Plate,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11416,OZONE PARK,QUEENS,40.681959730121285,-73.8507296005036
52047491,2021-10-02T04:26:24Z,2021-10-02T04:59:59Z,NYPD,noise - vehicle,Engine Idling,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11232,BROOKLYN,BROOKLYN,40.65313476366903,-74.00400034962665
52047509,2021-10-02T04:14:13Z,2021-10-02T04:33:57Z,NYPD,abandoned vehicle,With License Plate,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,10461,BRONX,BRONX,40.843047577823654,-73.85186442619579
52047592,2021-10-02T04:27:19Z,2021-10-02T05:28:30Z,NYPD,illegal parking,Posted Parking Sign Violation,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11204,BROOKLYN,BROOKLYN,40.610287463567325,-73.98323092479946
